book_id,book_title
57094644,Daughter of the Deep
895185,The Ghost
2948832,Seduce Me at Sunrise
154126,The Discovery of India
298663,The Killer Inside Me
53288434,The Lost Apothecary
359375,Night Watch
8752457,First Step 2 Forever
186439,Memory and Dream
292455,The Honorary Consul
132464,Totem and Taboo
20758104,The Knife of Never Letting Go
1932695,Breakaway: A Gail McCarthy Mystery
17333230,The Luminaries
696754,Captain Nemo's library
19001,A Perfect Spy
15764,The Amateur Marriage
14461,Kitty and the Midnight Hour
12063467,Fury
1158967,Garden Spells
4162673,The Private Patient
104089,Tigana
163165,The Patience of the Spider
100365,The Mote in God's Eye
1556093,Ghost Stories of an Antiquary
3391271,The Ten Thousand
42143,The Land of Laughs
53052855,The Seven Husbands of Evelyn Hugo
17312201,The Son of Sobek
444304,The Field Guide
14029,Beauty and Sadness
6547258,The Final Empire
363711,The Savage Tales of Solomon Kane
6538061,The Hakawati
113436,Eragon
64481,A Northern Light
4241335,A Game Of Hide And Seek
184350,My Life: An Attempt at an Autobiography
11387392,The Catastrophic History of You and Me
11441,Short Cuts: Selected Stories
13170596,Fragments
13099738,Steal Like an Artist: 10 Things Nobody Told You About Being Creative
40580,Stupid White Men
9415951,Forgotten
377895,A Stranger at Green Knowe
197514,Pig Island
383206,Wives and Daughters
59780,Cosmicomics
23566909,The Marvels
219813,The Bone Key: The Necromantic Mysteries of Kyle Murchison Booth
2314553,Twenty Chickens for a Saddle
42692,Mila 18
485815,High Tide at Gettysburg: The Campaign in Pennsylvania
9542439,The Lady of the Rivers
240130,The Paper Bag Princess
82783,Feeling Sorry for Celia
395851,The Struggle
16071767,Unseen
13183957,Shadows
17792606,Mine
1090870,Worstward Ho
59947696,Wrong Place Wrong Time
817139,The Queen's Confession
16171291,The Silent Wife
2033352,Frelseren
7476122,My Soul to Keep
75651263,The Surgeon
49628,Cloud Atlas
3544225,Doctor Olaf van Schuler's Brain
103235,The Vision of Emma Blau
98935,Father and Son
24504922,1001 Movies You Must See Before You Die
51364,Misquoting Jesus: The Story Behind Who Changed the Bible and Why
32076678,The Fact of a Body: A Murder and a Memoir
205338104,Murder On Family Grounds: A Mary Wandwalker Mystery
3872,A History of the World in 6 Glasses
99951,Objectivism: The Philosophy of Ayn Rand
604117,C.P. Cavafy: Collected Poems
380699,Against All Enemies: Inside America's War on Terror
15811554,Honor
31365,With No One as Witness
277397,Ellen Foster
19314,"Ronia, the Robber's Daughter"
913689,Whistling in the Dark
199784,Pants on Fire
2168860,One Foot in the Grave
54985743,People We Meet on Vacation
1285121,"The Laws of Spirit: Simple, Powerful Truths for Making Life Work"
61439040,1984
50605,Farewell Waltz
3853,Heat and Dust
33395557,For We Are Many
45370,"Love, etc."
4599,Carter Beats the Devil
251926,Outer Banks
3261627,No Rest for the Wiccan
1294356,The Fiftieth Gate: A Journey Through Memory
61049,Autobiography of Red
201345,Martin the Warrior
31125554,The Fourth Monkey
16115,A Dance to the Music of Time: 2nd Movement
34927038,The Ways of Autumn
9517,Persepolis 2: The Story of a Return
260142,The Principles of Quantum Mechanics
13623012,The Prisoner of Heaven
43930,Gone for Good
268187,Lilith
608474,The Sign of Four
13547289,Tales from a Not-So-Smart Miss Know-It-All
12279098,The God Complex
995815,The Outlander
61666,Contact
2145681,A Wolf at the Table
4502877,Midnight Sun [2008 Draft]
